,Scaler,kernel,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,best_param
0,SScaler,rquadratic,0.7209035017375033,0.06617400239092397,2.0042250633239744,0.016490311899791724,0.4936166286468506,0.0060493149617019855,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 545.5594781168514, 'svc__C': 46.4158883361278}"
1,SScaler,rbf,0.7253140871424753,0.11153187539509185,0.015107965469360352,0.004544833011828119,0.0017105579376220704,5.696769358172908e-05,"{'svc__kernel': 'rbf', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
2,SScaler,tru,0.7025928896017108,0.03830354046112739,3.301597166061401,0.020117977218351697,0.8275542259216309,0.013346231023296184,"{'svc__kernel': 'tru', 'svc__gamma': 545.5594781168514, 'svc__C': 46.4158883361278}"
3,SScaler,can,0.67211975407645,0.15605659130401847,3.8253519535064697,0.03951726424743761,0.9671875,0.019027488456097745,"{'svc__kernel': 'can', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
4,SScaler,radial_basic,0.7299117882919006,0.11091307797284546,2.799792528152466,0.026004097524406227,0.7033705234527587,0.026099406863811434,"{'svc__kernel': 'radial_basic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
5,SScaler,triangle,0.7138465650895482,0.09704694286741591,1.8126025199890137,0.023157406184355214,0.42537708282470704,0.06564731766087589,"{'svc__kernel': 'triangle', 'svc__gamma': 11.288378916846883, 'svc__C': 2154.4346900318847}"
6,SScaler,hyperbolic,0.7022453889334402,0.11437931676401508,0.9327316284179688,0.01427994589300433,0.2378389835357666,0.005427703566310711,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
7,MMScaler,rquadratic,0.7279069767441861,0.053082752548007726,2.021706390380859,0.011896964646284517,0.5068977355957032,0.024071763957578336,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 0.004832930238571752, 'svc__C': 3.5938136638046276}"
8,MMScaler,rbf,0.6955626837743919,0.06671995695630467,0.0096923828125,0.002128116781592211,0.0017750263214111328,7.26852188258467e-05,"{'svc__kernel': 'rbf', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
9,MMScaler,tru,0.6975674953221064,0.12813737214875193,3.359615612030029,0.044478397793114556,0.8424147129058838,0.029247310157691733,"{'svc__kernel': 'tru', 'svc__gamma': 3792.690190732246, 'svc__C': 27825.59402207126}"
10,MMScaler,can,0.7071638599304999,0.04687354392263495,3.8419824123382567,0.03082240149560907,0.9589027404785156,0.010914876397867566,"{'svc__kernel': 'can', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
11,MMScaler,radial_basic,0.7050521251002405,0.02975878765146714,2.7294310092926026,0.010676059062651462,0.6849159717559814,0.005901678520592013,"{'svc__kernel': 'radial_basic', 'svc__gamma': 545.5594781168514, 'svc__C': 46.4158883361278}"
12,MMScaler,triangle,0.7184175354183374,0.1046648140780648,1.8248310565948487,0.019080353270474484,0.4544222354888916,0.029707259601007584,"{'svc__kernel': 'triangle', 'svc__gamma': 11.288378916846883, 'svc__C': 2154.4346900318847}"
13,MMScaler,hyperbolic,0.7025394279604384,0.05125167656231206,0.9316916465759277,0.010545172102394494,0.2314737319946289,0.005243401394622742,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
14,NMScaler,rquadratic,0.5596899224806202,0.059808357907429256,2.132961797714233,0.09965659706359552,0.5046465396881104,0.027885353812968996,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
15,NMScaler,rbf,0.566586474204758,0.06551016839973532,1.788186740875244,0.787125685381871,0.001641988754272461,0.000258992512357519,"{'svc__kernel': 'rbf', 'svc__gamma': 3792.690190732246, 'svc__C': 27825.59402207126}"
16,NMScaler,tru,0.6631649291633253,0.0977422389645415,3.428201198577881,0.07757011517347212,0.8579826831817627,0.037615532007952084,"{'svc__kernel': 'tru', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
17,NMScaler,can,0.7302860197808072,0.03009657746293343,3.837802267074585,0.02167501161484068,0.9504668712615967,0.010225672529034805,"{'svc__kernel': 'can', 'svc__gamma': 4.281332398719396, 'svc__C': 12.91549665014884}"
18,NMScaler,radial_basic,0.5780807270783213,0.06612636673903984,6.457122421264648,0.7861334623704141,0.6283709526062011,0.05772110288694559,"{'svc__kernel': 'radial_basic', 'svc__gamma': 3792.690190732246, 'svc__C': 27825.59402207126}"
19,NMScaler,triangle,0.667816091954023,0.08891530853247685,1.6586153507232666,0.012153876919624098,0.403748083114624,0.003205543920596944,"{'svc__kernel': 'triangle', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
20,NMScaler,hyperbolic,0.543785084202085,0.004655769271762032,0.9492498397827148,0.029193864312259614,0.23479065895080567,0.008618401440955051,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
